statlaw,nsds_exist,nsds_implement,nsds_funded,nsds_gov,nsds_don,nsds_other,nsds_none,token,m49,country,iso
1,1,1,1,1,NA,1,0,1y1m9NDDLrjb7TH,248,Åland Islands,ALA
1,1,1,1,1,NA,NA,0,yz6K9kpWc1Leq4Y,276,Germany,DEU
1,1,1,1,1,NA,NA,0,5CGYaJh6UH3NFCU,620,Portugal,PRT
1,1,1,0,1,1,NA,0,SgnU5vMSPrIpJzj,8,Albania,ALB
NA,NA,NA,NA,NA,NA,NA,NA,d1tCnsvguX84AeX,250,France,FRA
1,1,1,1,1,NA,NA,0,GOjmQtPFl3jF9s4,702,Singapore,SGP
1,1,1,1,1,NA,NA,0,aYaraISjt8MWIUD,458,Malaysia,MYS
1,1,1,0,1,1,NA,0,YaB1s0nSkyFVems,524,Nepal,NPL
NA,NA,NA,NA,NA,NA,NA,NA,mwAaeeBxXw8k2c0,356,India,IND
1,1,1,1,1,NA,NA,0,0yXwPGNDJDXHka3,792,Türkiye,TUR
1,1,1,1,1,1,NA,0,8TmdeVAydvaCTka,51,Armenia,ARM
1,1,1,1,1,1,NA,0,FQLuyfhTSV0FSjE,70,Bosnia and Herzegovina,BIH
1,1,1,1,1,NA,NA,0,dx9egiNr4lDneda,300,Greece,GRC
1,1,1,0,1,NA,1,0,D12bmK8v2KaSW1K,233,Estonia,EST
1,1,1,1,1,NA,1,0,cJGJrgC7iAPhR1t,528,Netherlands,NLD
1,1,1,1,1,NA,NA,0,Ta6pXBEDAccIwKi,156,China,CHN
1,1,1,1,1,NA,NA,0,eaIl9eVd18hAvJl,578,Norway,NOR
NA,NA,NA,NA,NA,NA,NA,NA,wadW2nJYB9rRoTz,498,Republic of Moldova,MDA
1,1,1,1,1,NA,NA,0,Y3kAzbaQEWJydh8,268,Georgia,GEO
1,1,1,1,1,NA,1,0,b1zafemlHhHQxqp,208,Denmark,DNK
0,1,1,1,1,NA,NA,0,EP6PjPyzVxfivYq,96,Brunei Darussalam,BRN
1,1,1,0,1,1,NA,0,LgtagBaCzYLnGpa,418,Lao People's Democratic Republic,LAO
1,1,1,1,1,1,NA,0,KfZfaNmoLebV3vx,608,Philippines,PHL
1,1,1,1,1,NA,NA,0,lafa8zZ6aJz5bI5,196,Cyprus,CYP
NA,NA,NA,NA,NA,NA,NA,NA,najnXJwOzUmzPJR,50,Bangladesh,BGD
1,1,1,0,1,NA,NA,0,eTCe7HZblU7dysS,554,New Zealand,NZL
NA,NA,NA,NA,NA,NA,NA,NA,Pf7HUgzdzVaKbZL,360,Indonesia,IDN
1,1,1,1,1,NA,NA,0,t70q9JK2c2TakPl,440,Lithuania,LTU
1,1,1,1,1,NA,NA,0,zbPU2XMvSd05YZx,246,Finland,FIN
1,1,1,1,1,NA,NA,0,Hda0tiAKawqqXxJ,643,Russian Federation,RUS
1,1,1,1,1,NA,NA,0,dM5angLqYnUvQQc,703,Slovakia,SVK
1,1,1,1,1,NA,NA,0,B6uvRh1aORI1L5r,40,Austria,AUT
1,1,1,1,1,NA,NA,0,zVrmv10BmhmeKzO,203,Czechia,CZE
1,1,1,1,1,NA,NA,0,FjRF6lmS4GXMQrf,705,Slovenia,SVN
1,1,1,1,1,NA,NA,0,kyber01CWxyeGou,100,Bulgaria,BGR
0,1,1,1,1,NA,NA,0,i5I3LUM3dWKZcbs,56,Belgium,BEL
1,1,1,1,1,NA,NA,0,hn29aBTPQz8MWrk,752,Sweden,SWE
1,1,1,1,1,NA,NA,0,4dSfIJQQeQ36zEX,31,Azerbaijan,AZE
1,1,1,1,1,1,NA,0,5dTzjaa4I7kHqpt,688,Serbia,SRB
1,1,1,1,1,NA,NA,0,W0FaqBkMEH20B8O,724,Spain,ESP
0,0,NA,NA,NA,NA,NA,NA,u5DL2cGtF4yEZlS,144,Sri Lanka,LKA
1,1,1,1,1,1,NA,0,SIwtKLtzuptdqli,112,Belarus,BLR
1,1,1,1,1,NA,NA,0,eho1IBx6VTFWPtz,804,Ukraine,UKR
1,1,1,1,1,NA,NA,0,ryFM09Ep94JUUaw,392,Japan,JPN
0,1,1,1,1,NA,NA,0,aR6SZKa3i53bagq,826,United Kingdom of Great Britain and Northern Ireland,GBR
1,1,1,1,1,NA,1,0,4JKAp9k9YoEtOD8,807,North Macedonia,MKD
1,1,1,1,1,NA,1,0,vplFTRJ0Sl2Eeeh,756,Switzerland,CHE
1,1,1,1,1,1,NA,0,YWD1HzcTBBEyRCD,191,Croatia,HRV
1,1,1,1,1,NA,NA,0,rr0dJa6iZJZazpz,616,Poland,POL
1,1,1,1,1,NA,NA,0,NC53O1JLzn1poXe,352,Iceland,ISL
0,1,0,0,1,NA,NA,0,l448UAzoe357oaM,328,Guyana,GUY
1,0,NA,NA,NA,NA,NA,NA,9lZCIgSdeahwfXU,740,Suriname,SUR
1,1,1,1,1,NA,NA,0,FOfHHUeUHh6hTRz,484,Mexico,MEX
1,1,1,1,1,NA,NA,0,CdUZkEf4fjYxWuz,414,Kuwait,KWT
0,0,NA,NA,NA,NA,NA,NA,XwKDE6w7H9tF3hB,788,Tunisia,TUN
1,1,1,0,0,0,0,1,z72rbUXBN12eQSV,466,Mali,MLI
1,1,0,0,1,1,NA,0,1bHODN5cVreFDkw,434,Libya,LBY
1,0,NA,NA,NA,NA,NA,NA,NhfAB4oC5idIoaN,258,French Polynesia,PYF
1,1,1,0,1,1,NA,0,BM537tiuKF8PAoT,400,Jordan,JOR
1,1,1,1,1,NA,NA,0,qdqdRyXp4OLNyzZ,634,Qatar,QAT
NA,NA,NA,NA,NA,NA,NA,NA,8OI318EzGZ2LiNP,520,Nauru,NRU
1,1,1,1,1,NA,1,0,BSEMrCkzXrJVsbs,470,Malta,MLT
1,1,1,1,1,1,NA,0,cGl4uD0LEwwqTPu,275,State of Palestine,PSE
1,1,1,1,NA,1,NA,0,NFRRdm3CyzofZuh,728,South Sudan,SSD
1,1,NA,1,1,NA,NA,0,nKIEaJH5glTGIL7,72,Botswana,BWA
1,1,1,1,1,NA,1,0,8LgfuurtNTUTHUo,682,Saudi Arabia,SAU
1,1,1,0,0,0,0,1,E8dYpoMJ9kAS9AX,120,Cameroon,CMR
1,1,1,1,1,NA,NA,0,hNNKEkUpIz689MX,512,Oman,OMN
1,1,1,1,1,NA,NA,0,nazoX82ZQrSwgSN,858,Uruguay,URY
1,1,1,0,1,1,NA,0,z3ulhZjpqaAEoLt,508,Mozambique,MOZ
1,0,NA,NA,NA,NA,NA,NA,MaRDBNl1jTfcA4v,670,Saint Vincent and the Grenadines,VCT
1,1,1,0,0,0,0,1,SN1PzEK5cNxHs21,562,Niger,NER
1,1,1,1,1,NA,NA,0,IS2Vtyh77OAmLO1,170,Colombia,COL
1,1,1,1,1,NA,NA,0,2P34BITwKJBUVAQ,226,Equatorial Guinea,GNQ
