tid,countryname,token,M49Code,ISOCode
1,Åland Islands,wBv5hd8jPq44EFw,248,ALA
2,Albania,Msq5xzucGk1WThc,8,ALB
3,Algeria,aTza1dkWVcffUxG,12,DZA
4,Andorra,ivozgATYctl3KhO,20,AND
5,Angola,V135Bo9FZbgXZwg,24,AGO
6,Antigua and Barbuda,pzvtP0gOcHBPLBs,28,ATG
7,Argentina,lFbajiA28nN2srW,32,ARG
8,Armenia,lepsyZjzhzSPOnJ,51,ARM
9,Aruba,igE4gSKs0i2rRRi,533,ABW
10,Australia,Dr3swVP4S46DejQ,36,AUS
11,Austria,CZeoeOG1hM7tPvy,40,AUT
12,Azerbaijan,WnnSXsWYcvWHAXW,31,AZE
13,Bahrain,8szKrkfwkQw6mxx,48,BHR
14,Bangladesh,XsLFT2XUDaPKMAG,50,BGD
15,Barbados,zsDyd3NNRHS8DUo,52,BRB
16,Belarus,c7u0SWakK58a3I8,112,BLR
17,Belgium,3lvHaW8cXyk8PVq,56,BEL
18,Belize,0zlhSJa1x2L4n5t,84,BLZ
19,Benin,oqaq8XpbzlTdp83,204,BEN
20,Bhutan,C2Pszgebk7mA7lD,64,BTN
21,Bolivia (Plurinational State of),giXoA7xMjUeNdhg,68,BOL
22,Bosnia and Herzegovina,oDKQyQjparBLTAC,70,BIH
23,Botswana,TSwCxhW3uXwLtix,72,BWA
24,Brazil,k9LvwqAQSxq12hg,76,BRA
25,Brunei Darussalam,T5zE0VFih4zkbms,96,BRN
26,Bulgaria,AtQwAEgvf1XycdG,100,BGR
27,Burundi,XUwa9Yksa0zpaDn,108,BDI
28,Cambodia,OxDKfXAwjzzAJw6,116,KHM
29,Cameroon,lgkZ3UBygxw3dW3,120,CMR
30,Canada,PshG08gPH8kR4x3,124,CAN
31,Central African Republic,TTozHtKNLpt0PI9,140,CAF
32,Chile,tV3rRY63a0rkziQ,152,CHL
33,China,Fe3E4hEnEymegO4,156,CHN
34,Colombia,1eolBQFwtttYHoT,170,COL
35,Comoros,ARlhzIQCwdgY2eJ,174,COM
36,Congo,Kp1cx4nJBVJXphQ,178,COG
37,Costa Rica,HI90ZN9ZYqyAMVz,188,CRI
38,Côte d'Ivoire,pT2rNaTpPLznAjo,384,CIV
39,Croatia,95anSLmktKKtZ0r,191,HRV
40,Cuba,zTjfWLxR0KOE5yy,192,CUB
41,Cyprus,vY2ZOj6pbT243F1,196,CYP
42,Czechia,alS4cRMLOMwXfqM,203,CZE
43,Denmark,m1x3PeSvnOYNFYb,208,DNK
44,Djibouti,Qw51cEV7J7KfCPJ,262,DJI
45,Dominican Republic,zhslLQ7nPSN2ZFg,214,DOM
46,Ecuador,DxBppwpYJFijowH,218,ECU
47,Egypt,rWhm0k5wfjcDUqS,818,EGY
48,Equatorial Guinea,3gSSsiMf0J7oKDu,226,GNQ
49,Estonia,76JkcQdh3OknsDe,233,EST
50,Eswatini,eewnTmQ5iwRjppp,748,SWZ
51,Ethiopia,lBO9dPTSW9CY6JL,231,ETH
52,Finland,4wCYRIJkbtHRH0B,246,FIN
53,France,9B3XkLoX3lazZto,250,FRA
54,Gabon,IlSkDaoaaz44CAL,266,GAB
55,Gambia,a43YJzPXweEibmz,270,GMB
56,Georgia,7kAuEFoXVFfYT8j,268,GEO
57,Germany,CwzC9odORGEi9Tv,276,DEU
58,Ghana,ooLasf3s0ZYJ2wU,288,GHA
59,Greece,QRTNlniaBlJ7CTz,300,GRC
60,Greenland,AeDDERXMnvcsXau,304,GRL
61,Grenada,d19hIWm7YCWyadP,308,GRD
62,Guatemala,s9azNLLVgCZYnBm,320,GTM
