statlaw,nsds_exist,nsds_implement,nsds_funded,nsds_gov,nsds_don,nsds_other,nsds_none,token,m49,country,iso
1,1,1,1,1,1,NA,0,83FoR5qYBnqvuRG,499,Montenegro,MNE
1,1,1,1,1,1,NA,0,7kAuEFoXVFfYT8j,268,Georgia,GEO
1,1,1,1,1,1,NA,0,8cdJE4Q8xicamGS,858,Uruguay,URY
1,1,1,1,1,1,1,0,4wCYRIJkbtHRH0B,246,Finland,FIN
1,1,1,1,1,NA,NA,0,CZeoeOG1hM7tPvy,40,Austria,AUT
1,1,1,1,1,NA,NA,0,wBv5hd8jPq44EFw,248,Åland Islands,ALA
1,1,1,1,1,1,NA,0,lepsyZjzhzSPOnJ,51,Armenia,ARM
1,1,1,1,1,NA,NA,0,Dx1GImhvvAabmzM,804,Ukraine,UKR
1,1,1,1,1,NA,NA,0,eLBn1OzICBrxsh1,634,Qatar,QAT
1,1,1,1,1,NA,NA,0,GgUWCOyfikyvG1X,703,Slovakia,SVK
1,1,1,1,1,1,NA,0,uDabVDUjCxfnN3L,688,Serbia,SRB
1,1,1,1,1,NA,NA,0,z8gM1LUxjVQeEA4,616,Poland,POL
1,1,1,1,1,NA,NA,0,CwzC9odORGEi9Tv,276,Germany,DEU
1,1,1,1,1,NA,NA,0,r4UwcMKc9TbO7Rv,642,Romania,ROU
1,1,1,0,0,0,0,1,sG7WizdWAfL0Snx,508,Mozambique,MOZ
1,1,1,0,0,0,0,1,ARlhzIQCwdgY2eJ,174,Comoros,COM
0,1,0,0,NA,NA,1,0,CiT5bZhZ2FaCp2h,376,Israel,ISR
1,1,1,1,1,1,NA,0,c4zyKBQqn3MP6d5,807,North Macedonia,MKD
0,1,1,0,1,1,1,0,2Q5VDMaA2Ds5QSm,716,Zimbabwe,ZWE
1,1,1,1,1,NA,NA,0,zbzkjnfak3DtdGo,528,Netherlands,NLD
1,1,1,1,1,NA,NA,0,wRIFGDKXXw9aPtU,428,Latvia,LVA
1,1,1,1,1,NA,NA,0,c7u0SWakK58a3I8,112,Belarus,BLR
0,1,1,0,1,NA,NA,0,FRKQe5dDSzQpz3o,328,Guyana,GUY
1,1,1,1,1,NA,NA,0,vY2ZOj6pbT243F1,196,Cyprus,CYP
1,1,1,1,1,1,NA,0,95anSLmktKKtZ0r,191,Croatia,HRV
1,1,1,1,1,NA,NA,0,58SodFhlqhjQkaJ,380,Italy,ITA
1,0,NA,NA,NA,NA,NA,NA,giXoA7xMjUeNdhg,68,Bolivia (Plurinational State of),BOL
0,1,1,1,1,NA,NA,0,T5zE0VFih4zkbms,96,Brunei Darussalam,BRN
1,1,1,0,1,1,1,0,kFfc4GX3m6ja5fG,706,Somalia,SOM
0,1,1,0,0,0,0,1,XsLFT2XUDaPKMAG,50,Bangladesh,BGD
1,1,1,0,1,1,NA,0,RSbfxzeqzm65Dan,562,Niger,NER
1,1,1,0,0,0,0,1,lgkZ3UBygxw3dW3,120,Cameroon,CMR
1,1,1,1,1,NA,NA,0,1eolBQFwtttYHoT,170,Colombia,COL
1,1,1,1,1,NA,NA,0,AAM0jpMZVTEa5Ki,724,Spain,ESP
1,1,1,0,1,1,1,0,7QJwf1oXF7aEaWt,800,Uganda,UGA
0,0,NA,NA,NA,NA,NA,NA,4nQmZT2G1Ua1gYg,662,Saint Lucia,LCA
1,0,NA,NA,NA,NA,NA,NA,0zlhSJa1x2L4n5t,84,Belize,BLZ
1,0,NA,NA,NA,NA,NA,NA,9B3XkLoX3lazZto,250,France,FRA
1,1,1,1,1,NA,NA,0,pp92Hzqqmf9EnN5,608,Philippines,PHL
1,1,1,1,1,NA,NA,0,mtayKpzmIsa7c1i,702,Singapore,SGP
1,1,1,1,1,NA,NA,0,ACD9OtcTOTrWTGZ,392,Japan,JPN
1,1,1,1,1,NA,NA,0,Fe3E4hEnEymegO4,156,China,CHN
1,1,1,1,1,NA,NA,0,jv6i4tYZpPooako,586,Pakistan,PAK
1,1,1,1,1,NA,NA,0,ryGBFdopZQuXCku,442,Luxembourg,LUX
1,1,1,1,1,1,NA,0,ooLasf3s0ZYJ2wU,288,Ghana,GHA
1,1,1,1,1,NA,NA,0,8J9z0K6yFeqE03V,643,Russian Federation,RUS
1,1,1,1,1,NA,NA,0,zsW0Gys7TZEzkrU,705,Slovenia,SVN
1,1,1,1,1,NA,NA,0,alS4cRMLOMwXfqM,203,Czechia,CZE
1,1,1,0,0,0,0,1,dLVF2NqZm2mpQqQ,466,Mali,MLI
1,1,1,0,1,1,1,0,ohJiGlm8CVgbUXw,404,Kenya,KEN
1,1,1,1,1,1,NA,0,QSmlh7UlCyB10ZS,882,Samoa,WSM
1,1,1,1,1,1,NA,0,DRZJV0OS78HOLl3,626,Timor-Leste,TLS
1,1,1,1,1,NA,NA,0,QRTNlniaBlJ7CTz,300,Greece,GRC
1,1,1,1,1,NA,NA,0,lUgdSmzThNIVjg3,682,Saudi Arabia,SAU
1,1,1,1,1,1,NA,0,oFHtvjvzeuI9clw,275,State of Palestine,PSE
1,1,1,1,NA,1,NA,0,3Jn8CHlzMsRygOx,887,Yemen,YEM
