Country,Status,Type,Name of the Plan,Range,Next Plan,Reg
Algeria*,Expired,,Stratégie Nationale de Développement de la Statistique,2017-19,Not yet planned,Africa
Angola*,Implementation,,Plano Estatistico Nacional de Medio Prazo,2015-25,,Africa
Benin,Implementation,NSDS -3,Stratégie Nationale de Développement de la Statistique,2020-23,,Africa
Botswana*,Expired,NSDS,Botswana Strategy for the Development of Statistics,2015 – 2020 (current one extended),Planned ,Africa
Burkina Faso,Implementation,NSDS,Schéma Directeur de la Statistique,2021-2025,,Africa
Burundi,Expired,NSDS,Stratégie Nationale du Développement de la Statistique,2016-2020,Planned,Africa
Cabo Verde,Implementation,NSDS,Agenda Estatística Para O Desenvolvimento,2017-2021,Planned,Africa
Cameroon,Expired,NSDS,"Stratégie National de Développement de la Statistique (NSDS30, 2021-2030)",2021-2030,,Africa
Central African Republic,Expired,,Stratégie Nationale de développement de la statistique,2019-2022,Not yet planned,Africa
Chad,Expired,NSDS,Stratégie Nationale de développement de la statistique (SNDS2),2022-226,,Africa
Comoros,Implementation,NSDS,Stratégie Nationale du Développement de la Statistique,2015-19,Planned,Africa
Congo,"Completed, awaiting adoption",,Programme pluriannuel de développement statistique ,,Planned,Africa
Congo (Democratic Republic of the),Expired,NSDS,Stratégie nationale de développement de la statistique,2012/13-17,Planned,Africa
Côte d'Ivoire,Expired,,Stratégie nationale de développement de la statistique,2017 - 2021,,Africa
Djibouti,Expired,NSDS,Stratégie Nationale de Développement de la Statistique,2011-15,Being designed,Africa
Egypt*,Implementation,NSDS,National Strategy of Statistics,2017 - 21,Being planned,Africa
Equatorial Guinea*,Implementation,NSDS,Estrategia Nacional de Desarrollo de la Estadística,2021-2024,,Africa
Eritrea,Expired,,Master plan for development economics statistics,2010-14,Not yet planned,Africa
Ethiopia,Implementation,NSDS,The Ethiopian National Strategy for the Development of Statistics,2021-2026,,Africa
Gabon*,Implementation,,,2016-2019,Being designed ,Africa
Gambia,Implementation,NSDS,The Gambia National Strategy for the Development of Statistics,2018 - 2022,Being Designed,Africa
Ghana,Implementation,NSP,Ghana Statistical Service Corporate Plan,2020-2024,,Africa
Guinea,Expired,NSDS,Stratégie Nationale de Développement de la Statistique,2016-2020,Planned,Africa
Guinea-Bissau,Implementation,,Stratégie Nationale de Développement de la Statistique (ENDE),2021-2024,,Africa
Kenya,Implementation,NSDS,National Strategy for the Development of Statistics,2019/20 – 2022/23,Planned,Africa
Lesotho,Implementation,NSDS,National Strategy for the Development of Statistics,2021/22-2025/26,,Africa
Liberia,"Completed, awaiting adoption",NSDS,National Strategy for the Development of Statistics,2018-22,Planned,Africa
Libya*,"Completed, awaiting adoption",NSDS,National Strategy for the Development of Statistics,2018-2023,Being revised,Africa
Madagascar,Expired,NSDS,Stratégie Nationale de Développement de la Statistique ,2007-17,Being designed,Africa
Malawi,Implementation,NSDS,National Statistical System Strategic Plan ,2019-2023,,Africa
Mali,Implementation,NSP 3,Schéma Directeur de la Statistique,2020-2024,,Africa
Mauritania,Designing/Adopting,NSDS,Stratégie Nationale de Développement de la Statistique,2016-2020,Planned,Africa
Mauritius*,Expired,NSDS,National Strategy for the Development of Statistics,2019-2023,,Africa
Morocco*,Implementation,NSDS,Plan d'action à long terme de la Direction de la Statistique,,Planned,Africa
Mozambique,Implementation,NSDS,National Statistics System Strategic Plan,2020-2024,,Africa
Namibia*,Implementation,NSDS,National Strategy for the Development of Statistics,2017/18-2021/22,Planned,Africa
Niger,Implementation,NSDS,Stratégie Nationale de Développement de la Statistique,2022-2026,,Africa
Nigeria,Implementation,NSDS,National Strategy for Development of Statistics,2017-2021,Planned,Africa
