Region,Under implementation and fully funded,Under implementation and not fully funded,Not implementing,Information not available
Small island developing States (SIDS),11,10,13,19
Landlocked developing countries (LLDCs),11,16,4,1
Least Developed Countries (LDCs),9,27,8,4
Australia and New Zealand,1,1,0,4
Oceania (exc. Australia and New Zealand),2,3,6,12
Sub-Saharan Africa,14,25,7,7
Northern Africa and Western Asia,15,2,5,3
Eastern and South-Eastern Asia,10,8,0,0
Central and Southern Asia,6,7,1,0
Latin America and the Caribbean,19,6,11,15
Europe and Northern America,42,2,0,13
